Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
NBF2,9.14,-0.87,9.40,8.86,9.04,"128,854",,
NBF3,9.17,-0.11,9.34,8.91,9.02,"30,650",,
NBL,245.00,-0.53,246.90,244.30,245.00,"58,427",,
NBLD85,"1,011.00",-0.15,"1,031.00","1,011.00","1,031.00",150,,
NBLD87,"1,027.00",-1.25,"1,027.00","1,025.00","1,025.00",55,,
NESDO,"2,377.00",1.17,"2,443.00","2,311.10","2,311.10","2,608",,
NFS,715.00,-1.92,742.50,703.00,715.00,"63,472",,
NGPL,292.00,6.76,299.80,269.00,270.20,"609,167",,
NHDL,790.00,-1.75,829.80,783.10,820.00,"84,362",,
NHPC,220.00,2.09,221.30,215.00,215.00,"115,410",,
NIBD84,"1,023.00",-0.68,"1,023.20","1,023.00","1,023.20",50,,
NIBLGF,8.42,-2.09,8.52,8.25,8.45,"324,100",,
NIBLSTF,9.07,-0.11,9.08,8.90,8.90,"1,900",,
NIBSF2,8.31,-2.24,8.67,8.08,8.33,"66,423",,
NICA,357.00,1.13,362.00,350.00,353.00,"104,728",,
NICAD8283,"1,075.00",-1.51,"1,091.50","1,069.90","1,091.50","1,345",,
NICAD85/86,"1,061.10",0.67,"1,061.10","1,057.00","1,057.10",155,,
NICBF,9.36,-3.9,9.55,9.36,9.55,"3,500",,
NICD88,"1,021.00",-0.2,"1,021.00","1,021.00","1,021.00",25,,
NICFC,9.50,-1.35,9.50,9.00,9.44,"174,600",,
NICGF,10.57,0.09,10.70,10.56,10.57,"29,300",,
NICGF2,8.47,-0.59,8.60,8.37,8.37,"1,003,300",,
NICL,977.00,-0.51,996.00,965.00,965.00,"9,327",,
NICLBSL,659.10,0.17,670.90,645.10,670.00,"10,375",,
NICSF,9.59,1.91,9.68,8.53,9.50,"51,810",,
NIFRA,261.00,2.03,262.00,254.60,260.00,"170,145",,
NIFRAUR85/86,955.00,-0.52,955.00,955.00,955.00,25,,
NIL,938.90,-0.31,948.70,930.30,948.70,"66,995",,
NIMB,208.50,0.24,209.40,206.10,206.10,"99,192",,
NIMBPO,159.80,-0.12,162.90,147.70,156.90,"38,838",,
NLG,"1,089.00",-0.18,"1,092.00","1,055.00","1,092.00","27,042",,
NLIC,732.00,-1.21,755.70,730.00,755.70,"38,882",,
NLICL,591.20,0.36,610.00,578.20,600.80,"25,626",,
NMB,240.00,0,242.80,238.30,242.80,"44,918",,
NMB50,10.22,1.19,10.22,10.10,10.10,"6,010",,
NMBD87/88,"1,010.00",-1.66,"1,010.00","1,010.00","1,010.00",25,,
NMBMF,701.00,0.94,708.30,691.10,700.00,"8,437",,
NMFBS,"1,305.00",0.77,"1,305.60","1,280.00","1,280.00","1,566",,
NMLBBL,693.00,1.73,695.00,683.10,683.10,"18,852",,
NRIC,946.50,3.1,947.00,920.00,920.00,"310,474",,
NRM,548.00,7.03,551.00,510.00,510.00,"292,463",,
NRN,"1,322.00",3.45,"1,329.00","1,253.00","1,253.00","223,130",,
NSIF2,10.01,-1.18,10.20,10.01,10.20,"210,120",,
NTC,907.00,0.61,916.90,900.00,916.90,"11,351",,
NUBL,670.00,0.15,675.00,660.00,668.00,"16,582",,
NWCL,998.90,0.9,998.90,980.50,990.00,"4,424",,
NYADI,707.80,9.99,707.80,656.30,656.30,"135,203",,
OHL,910.00,-0.97,936.00,901.40,936.00,"4,736",,
PBD84,"1,081.00",-1.73,"1,100.00","1,081.00","1,100.00",125,,
PBD88,"1,111.00",0.54,"1,111.00","1,111.00","1,111.00",75,,
PBLD84,"1,111.80",3.91,"1,111.80","1,075.00","1,075.00",305,,
PBLD86,"1,097.00",-0.72,"1,097.00","1,097.00","1,097.00",50,,
PCBL,237.00,-0.84,240.00,236.00,236.00,"74,818",,
PFL,392.10,2.11,396.60,374.00,388.00,"103,787",,
PHCL,584.00,1.55,594.00,576.10,586.60,"74,641",,
PMHPL,319.00,4.25,321.00,301.10,312.10,"96,998",,
PMLI,578.30,2.35,578.30,561.20,565.00,"36,107",,
PPCL,336.00,6.84,340.50,313.00,313.00,"184,824",,
PPL,615.90,0.16,627.00,600.30,627.00,"54,189",,
PRIN,972.20,0.02,990.00,970.40,990.00,"12,254",,
PROFL,547.00,1.48,558.00,527.00,548.00,"39,273",,
PRSF,9.96,0.2,9.96,9.91,9.91,600,,
PRVU,217.50,0.05,219.70,215.30,216.10,"130,275",,
PSF,9.92,-0.9,10.01,9.89,9.90,"46,900",,
RADHI,382.00,2.41,387.00,376.50,380.00,"55,964",,
RAWA,840.00,3.58,852.00,813.00,827.00,"36,509",,
RBCL,"14,450.00",0.61,"14,550.00","14,311.00","14,311.00",416,,
RBCLPO,"11,180.00",0.27,"11,340.00","11,177.00","11,200.00",330,,
RFPL,"1,015.00",-1.46,"1,028.00",966.60,"1,009.40","92,055",,
RHGCL,652.80,3.13,657.00,620.40,623.00,"63,681",,
RHPL,443.60,0.36,450.00,442.10,444.00,"136,575",,
RIDI,244.00,4.77,246.00,231.30,236.60,"195,849",,
RLFL,505.00,2.02,516.00,488.00,500.00,"42,100",,
RMF1,8.90,1.14,8.90,8.53,8.66,"75,400",,
RMF2,8.97,0,8.97,8.80,8.80,400,,
RNLI,522.80,0,527.00,517.00,517.00,"54,502",,
RSDC,660.00,0.33,670.00,652.00,667.00,"13,217",,
RURU,770.00,3.15,775.20,746.00,760.00,"69,715",,
SADBL,405.90,4.91,405.90,388.40,388.40,"65,065",,
SAGF,9.18,0.33,9.30,9.02,9.02,"7,100",,
SAHAS,489.00,0.97,493.00,484.00,484.00,"210,843",,
SALICO,716.10,-0.25,725.00,716.10,720.00,"5,985",,
SAMAJ,"3,352.40",-1.31,"3,455.00","3,350.00","3,454.00",379,,
SAND2085,"1,090.00",-1.31,"1,090.00","1,069.20","1,082.50",200,,
SANIMA,291.10,-0.51,295.00,291.10,293.10,"63,824",,
SAPDBL,"1,392.40",-4.63,"1,572.00","1,328.90","1,430.80","272,800",,
SARBTM,781.00,0.77,788.00,770.00,788.00,"39,879",,
SBCF,9.10,0.89,9.10,8.96,9.02,"11,352",,
